freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,BG	20.77 	22.18 	23.37 	25.18 	25.43 	26.28 	26.55 	27.24 	28.35 	28.76 	33.78 	36.85 	40.44 	39.57 	43.52 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,CY	32.85 	34.23 	36.90 	36.92 	39.95 	39.61 	42.67 	44.28 	44.87 	44.84 	48.35 	52.34 	57.12 	57.07 	55.94 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,CZ	34.72 	36.67 	37.66 	38.83 	41.15 	40.35 	38.65 	42.73 	43.79 	47.00 	49.47 	48.32 	50.64 	54.35 	54.45 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,DE	46.32 	48.72 	49.01 	49.66 	48.19 	49.65 	50.20 	50.29 	54.71 	55.92 	56.23 	59.20 	60.27 	61.71 	63.92 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,DK	62.01 	: 	63.42 	65.58 	68.76 	70.08 	70.60 	70.66 	72.11 	73.98 	75.13 	75.87 	79.05 	78.48 	79.13 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EA	42.54 	43.95 	44.54 	45.89 	45.64 	47.32 	48.28 	49.69 	52.27 	53.67 	55.91 	57.85 	59.03 	59.81 	61.27 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EE	43.64 	42.52 	43.76 	44.13 	43.33 	42.75 	44.20 	45.90 	47.24 	47.22 	50.05 	55.08 	55.81 	56.68 	59.10 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EL	35.08 	34.81 	37.19 	38.84 	39.11 	37.98 	38.33 	37.94 	38.31 	37.18 	44.70 	46.29 	43.58 	46.82 	48.78 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,ES	42.23 	43.45 	45.18 	46.17 	45.82 	49.63 	49.67 	50.78 	50.67 	52.64 	56.57 	58.99 	57.95 	59.41 	59.82 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EU15	43.90 	44.55 	46.24 	48.39 	48.33 	49.78 	50.82 	52.06 	54.86 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EU25	42.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EU27_2007	40.85 	41.58 	43.45 	45.37 	45.18 	46.49 	47.39 	48.71 	51.13 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EU27_2020	39.99 	41.56 	42.48 	43.91 	43.64 	45.11 	45.96 	47.40 	49.65 	51.10 	54.00 	56.10 	57.43 	58.49 	60.07 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,EU28	40.82 	41.56 	43.43 	45.38 	45.17 	46.48 	47.37 	48.69 	51.11 	52.25 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,FI	61.73 	61.90 	61.68 	62.87 	66.38 	66.07 	67.69 	66.20 	68.72 	69.55 	77.30 	80.03 	82.03 	82.37 	83.49 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,FR	42.65 	43.53 	44.18 	46.18 	45.19 	46.57 	47.44 	49.12 	53.86 	55.03 	55.62 	55.69 	55.16 b	56.03 	58.50 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,HR	36.63 	39.42 	40.82 	46.51 	43.33 	44.94 	45.36 	46.63 	47.66 	47.27 	50.76 	58.20 	57.25 	57.51 	59.68 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,HU	30.56 	28.04 	33.28 	33.06 	35.02 	33.87 	37.73 	39.10 	39.64 	39.34 	41.68 	48.62 	52.02 	56.14 	58.90 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,IE	46.21 	45.59 	46.62 	49.68 	45.04 	44.96 	47.30 	48.04 	46.72 	48.97 	55.20 	56.79 	59.48 	64.43 	61.82 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,IS	97.75 	: 	99.66 	99.28 	100.00 	: 	: 	: 	: 	: 	100.00 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,IT	33.29 	35.53 	36.83 	36.88 	38.50 	40.13 	41.52 	44.62 	47.24 	49.50 	51.97 	53.49 	56.18 	55.69 	56.02 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,LT	30.76 	39.94 	38.72 	40.95 	38.78 	40.67 	42.07 	44.34 	45.85 	47.71 	55.55 	60.55 	61.56 	59.99 	57.57 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,LU	54.40 	54.10 	: c	52.10 	44.84 	46.08 	46.68 	47.23 	47.68 	48.62 	55.27 	56.08 	59.75 	61.08 	60.31 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,LV	26.32 	38.48 	37.99 	40.15 	40.28 	: u	36.51 	40.88 	41.69 	41.16 	43.36 	50.50 	54.29 	60.49 	59.93 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,ME	: 	: 	: 	: 	: 	: 	44.85 	46.61 	49.64 	47.87 	51.49 	60.92 	59.76 	69.22 	66.79 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,MK	24.35 	26.07 	: u	26.90 	28.47 	30.50 	32.01 	: 	: 	: 	38.14 	42.01 	: u	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,MT	38.77 	35.58 	37.98 	39.57 	43.01 	46.17 	45.08 	46.90 	48.05 	53.91 	55.71 	56.37 	58.84 	61.62 	62.26 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,NL	58.04 	56.62 	54.22 	56.76 	59.04 	60.29 	62.77 	68.56 	68.23 	68.38 	70.94 	71.71 	76.91 	77.24 	78.74 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,NO	60.44 	64.65 	66.52 	65.41 	62.09 	63.42 	66.17 	66.80 	66.62 	69.04 	81.91 	82.72 	85.57 	88.89 	86.76 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,PL	32.11 	34.35 	34.92 	36.21 	35.31 	35.69 	36.15 	37.81 	38.73 	40.79 	48.34 	50.59 	50.58 	52.56 	54.38 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,PT	31.06 	30.71 	31.57 	36.17 	36.33 	36.82 	37.09 	37.51 	38.50 	38.99 	41.44 	43.94 	47.02 	46.56 	49.88 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,RO	21.59 	25.94 	23.02 	24.78 	25.76 	26.11 	25.25 	25.15 	26.07 	24.87 	29.54 	32.71 	35.04 	35.36 	37.78 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,RS	: 	: 	: 	: 	44.32 	: 	: 	45.68 	46.12 	46.68 	49.79 	53.78 	59.48 	57.59 	62.57 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,SE	58.37 	60.38 	65.31 	67.96 	67.81 	69.42 	70.62 	71.07 	73.34 	80.57 	82.94 	82.56 	83.87 	86.47 b	86.42 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,SI	45.57 	46.53 	49.54 	47.96 	48.04 	48.80 	50.67 	50.87 	51.72 	51.58 	54.02 	57.31 	62.22 	61.17 	63.46 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,SK	39.41 	41.78 	43.27 	45.67 	42.10 	43.52 	43.87 	43.81 	43.08 	44.62 	50.21 	51.24 	53.92 	52.83 	57.73 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,TR	26.09 	: 	: 	: 	: 	26.02 	26.85 	27.07 	26.44 	23.68 	: 	42.06 	49.71 	51.65 	50.68 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP,UK	46.26 	: 	50.00 	56.00 	56.08 	54.95 	57.29 	57.86 	61.54 	60.58 	62.26 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,AT	88.94 	: 	88.88 	90.14 	92.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,BA	: 	: 	: 	: 	: 	: 	: 	: 	92.05 	93.53 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,BE	85.29 	85.55 	86.44 	: u	: u	89.39 	89.91 	91.37 	92.43 	92.69 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,BG	87.44 	87.27 	86.92 	90.25 	88.15 	91.02 	90.43 	91.19 	92.11 	92.79 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,CY	82.73 	84.70 	84.76 	85.71 	85.05 	85.85 	84.61 	86.14 	90.78 	91.03 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,CZ	90.70 	91.28 	90.19 	90.43 	89.87 	91.27 	78.65 	92.02 	91.77 	91.22 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,DE	83.29 	86.99 	86.99 	87.46 	: 	: 	90.13 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,DK	: 	: 	: 	: 	: 	100.00 	: 	: 	72.11 	73.98 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EA	85.00 	86.31 	87.13 	87.61 	89.12 	89.62 	90.35 	91.56 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EE	95.10 	95.11 	95.19 	95.93 	95.04 	95.47 	95.55 	95.59 	95.61 	95.62 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EL	85.01 	79.78 	83.84 	87.92 	86.78 	86.72 	87.44 	90.09 	91.90 	92.58 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,ES	85.38 	86.39 	87.40 	87.22 	86.63 	89.47 	89.98 	90.05 	91.64 	92.05 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EU15	85.72 	86.23 	87.23 	88.34 	90.35 	90.85 	91.29 	92.32 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EU25	86.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EU27_2007	86.22 	86.53 	87.59 	88.67 	90.49 	91.01 	90.92 	92.28 	91.81 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EU27_2020	85.82 	86.53 	87.50 	88.05 	89.64 	90.32 	90.03 	91.87 	90.58 	91.37 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,EU28	86.21 	86.53 	87.59 	88.67 	90.53 	91.04 	90.94 	92.29 	91.84 	92.41 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,FI	92.14 	91.48 	91.08 	91.60 	94.07 	93.95 	94.12 	95.29 	95.29 	95.79 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,FR	84.36 	84.07 	86.30 	87.64 	88.90 	88.97 	: 	91.45 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,HR	84.94 	86.62 	88.82 	: 	95.47 	94.63 	93.37 	93.81 	94.46 	94.59 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,HU	82.42 	72.35 	83.88 	82.17 	86.12 	86.21 	88.26 	89.16 	89.03 	91.37 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,IE	87.40 	87.46 	87.88 	89.52 	82.56 	81.74 	85.83 	87.32 	86.28 	90.49 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,IS	98.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,IT	82.47 	85.02 	85.83 	84.46 	88.60 	88.72 	89.37 	90.84 	88.49 	89.46 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,LT	93.86 	95.24 	92.45 	94.51 	95.81 	95.30 	94.97 	94.58 	92.27 	92.06 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,LV	93.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,ME	: 	: 	: 	: 	: 	: 	75.10 	79.86 	86.58 	88.78 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,MK	81.53 	81.79 	: u	85.08 	87.40 	91.27 	91.05 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,MT	81.47 	80.39 	82.97 	85.51 	86.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,NL	91.89 	89.74 	89.26 	90.68 	94.06 	93.21 	93.62 	94.99 	94.70 	95.00 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,NO	94.15 	93.06 	94.71 	94.62 	93.28 	94.41 	94.34 	94.04 	93.55 	95.14 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,PL	89.82 	88.74 	90.30 	90.78 	91.49 	92.06 	92.87 	92.33 	92.92 	93.77 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,PT	85.28 	88.77 	88.22 	89.16 	89.00 	89.51 	88.78 	92.06 	89.24 	88.80 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,RO	87.96 	88.57 	89.81 	92.45 	93.97 	93.40 	90.51 	92.87 	90.75 	92.25 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,RS	: 	: 	: 	: 	92.10 	: 	: 	95.11 	93.27 	93.42 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SE	89.38 	: 	: 	: 	: 	: 	: 	95.62 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SI	88.34 	88.36 	89.14 	89.49 	88.00 	90.51 	94.09 	94.61 	92.81 	94.82 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,SK	90.26 	87.80 	90.22 	92.24 	91.59 	91.49 	92.58 	92.28 	93.07 	93.74 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,TR	27.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE,UK	88.46 	: 	88.12 	92.10 	94.20 	93.62 	95.15 	94.03 	95.90 	95.97 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,AT	: 	: 	41.81 	43.27 	44.94 	48.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,BE	: 	: 	46.34 	: u	: u	48.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,BG	: 	: 	24.95 	26.59 	26.52 	27.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,CY	: 	: 	37.44 	37.72 	40.53 	40.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,CZ	: 	: 	38.31 	39.44 	41.55 	40.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,DE	: 	: 	49.76 	50.35 	48.66 	50.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,DK	: 	: 	63.86 	65.92 	69.14 	70.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EA	: 	: 	45.07 	46.37 	46.02 	47.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EE	: 	: 	44.47 	44.80 	44.14 	43.44 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EL	: 	: 	38.63 	40.74 	41.32 	40.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,ES	: 	: 	45.78 	46.69 	46.18 	50.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EU15	: 	: 	46.85 	48.97 	48.84 	50.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EU27_2007	: 	: 	44.34 	46.25 	45.95 	47.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EU27_2020	: 	: 	43.35 	44.74 	44.34 	45.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,EU28	: 	: 	44.32 	46.25 	45.94 	47.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,FI	: 	: 	61.68 	62.87 	66.41 	66.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,FR	: 	: 	44.32 	46.28 	45.31 	46.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,HR	: 	: 	41.59 	47.04 	44.18 	48.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,HU	: 	: 	34.46 	34.42 	36.06 	35.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,IE	: 	: 	48.06 	50.88 	45.42 	45.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,IS	: 	: 	100.00 	100.00 	100.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,IT	: 	: 	37.44 	37.33 	38.93 	40.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,LT	: 	: 	38.77 	41.01 	38.78 	40.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,LU	: 	: 	: c	52.39 	44.95 	46.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,LV	: 	: 	38.96 	40.73 	40.65 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,MK	: 	: 	: u	27.85 	29.46 	31.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,MT	: 	: 	38.68 	40.49 	43.74 	46.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,NL	: 	: 	54.22 	56.76 	59.04 	60.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,NO	: 	: 	67.49 	66.58 	62.70 	63.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,PL	: 	: 	35.94 	37.15 	36.33 	36.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,PT	: 	: 	31.89 	36.51 	36.51 	37.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,RO	: 	: 	26.47 	28.42 	28.49 	28.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,RS	: 	: 	: 	: 	44.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,SE	: 	: 	66.05 	69.01 	67.81 	69.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,SI	: 	: 	50.04 	48.48 	48.47 	49.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,SK	: 	: 	43.75 	46.16 	42.58 	44.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,TR	: 	: 	: 	: 	: 	26.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_CUSE2,UK	: 	: 	50.99 	57.17 	57.43 	55.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,AT	: 	: 	42.00 	43.58 	45.14 	49.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,BE	: 	: 	46.69 	: u	: u	49.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,BG	: 	: 	25.57 	27.08 	26.92 	27.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,CY	: 	: 	37.82 	38.36 	40.70 	40.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,CZ	: 	: 	38.43 	39.61 	41.71 	40.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,DE	: 	: 	49.97 	50.51 	48.91 	50.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,DK	: 	: 	64.11 	65.99 	69.16 	70.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EA	: 	: 	45.36 	46.64 	46.21 	47.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EE	: 	: 	44.64 	44.96 	44.36 	43.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EL	: 	: 	39.17 	41.70 	41.65 	40.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,ES	: 	: 	46.22 	47.23 	46.54 	50.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EU15	: 	: 	47.13 	49.22 	49.05 	50.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EU27_2007	: 	: 	44.66 	46.54 	46.22 	47.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EU27_2020	: 	: 	43.68 	45.05 	44.61 	46.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,EU28	: 	: 	44.64 	46.54 	46.20 	47.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,FI	: 	: 	61.68 	62.87 	66.41 	66.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,FR	: 	: 	44.43 	46.35 	45.38 	46.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,HR	: 	: 	41.91 	47.25 	44.18 	48.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,HU	: 	: 	35.07 	35.13 	36.71 	36.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,IE	: 	: 	48.30 	51.14 	45.66 	45.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,IS	: 	: 	100.00 	100.00 	100.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,IT	: 	: 	37.91 	37.68 	38.98 	40.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,LT	: 	: 	38.77 	41.01 	38.78 	40.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,LU	: 	: 	: c	52.60 	44.99 	46.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,LV	: 	: 	39.98 	41.46 	41.07 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,MK	: 	: 	: u	28.27 	29.70 	32.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,MT	: 	: 	39.19 	40.78 	43.92 	47.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,P_IUSE,PC_EMP_IACC,NL	: 	: 	54.24 	56.83 	59.05 	60.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 
